Time,C4,C12,RLU,OD,RLU_OD,Phase
1,0,0.2,57,0.128,445.3125,followup
1,0,0.2,54,0.124,435.483870967742,followup
1,0,0.2,52,0.125,416,followup
1,0,0.2,43,0.123,349.593495934959,followup
1,0,0.2,52,0.125,416,followup
1,0,0.5,320,0.177,1807.90960451977,initial
1,0,0.5,271,0.172,1575.58139534884,initial
1,0,0.5,307,0.177,1734.46327683616,initial
1,0,0.5,299,0.175,1708.57142857143,initial
1,0,0.5,312,0.181,1723.75690607735,initial
1,0,0.5,58,0.115,504.347826086957,followup
1,0,0.5,50,0.126,396.825396825397,followup
1,0,0.5,58,0.119,487.394957983193,followup
1,0,0.5,60,0.123,487.80487804878,followup
1,0,0.5,63,0.124,508.064516129032,followup
