C4,RhlIPlus,RhlI(C12=0),RhlI(C12=0.4),RhlI(C12=0.8),RhlI(C12=1.2),RhlI(C12=1.6),RhlI(C12=2)
1.208,53951.2207516013,54079.404640502,109974.734493786,113402.211661471,114640.0626783,115278.564513275,115668.169321447
1.212,54049.3755392009,54087.4946280599,109982.824481344,113410.301649029,114648.152665858,115286.654500833,115676.259309005
1.216,54147.2515250892,54095.5616365821,109990.891489866,113418.368657551,114656.21967438,115294.721509355,115684.326317527
1.22,54244.8498954563,54103.6057638351,109998.935617119,113426.412784804,114664.263801633,115302.765636608,115692.37044478
1.224,54342.1718297727,54111.6271070318,110006.956960316,113434.434128001,114672.28514483,115310.786979805,115700.391787977
1.228,54439.2185008372,54119.625762835,110014.955616119,113442.432783804,114680.283800633,115318.785635608,115708.39044378
1.232,54535.9910748233,54127.6018273617,110022.931680645,113450.408848331,114688.259865159,115326.761700135,115716.366508307
1.236,54632.4907113267,54135.5553961865,110030.88524947,113458.362417156,114696.213433984,115334.71526896,115724.320077132
1.24,54728.7185634112,54143.4865643458,110038.81641763,113466.293585315,114704.144602143,115342.646437119,115732.251245291
1.244,54824.6757776545,54151.3954263413,110046.725279625,113474.20244731,114712.053464139,115350.555299114,115740.160107287
1.248,54920.3634941942,54159.2820761439,110054.611929428,113482.089097113,114719.940113942,115358.441948917,115748.046757089
1.252,55015.7828467725,54167.1466071976,110062.476460481,113489.953628167,114727.804644995,115366.306479971,115755.911288143
1.256,55110.9349627813,54174.9891124227,110070.318965706,113497.796133392,114735.64715022,115374.148985196,115763.753793368
1.26,55205.8209633062,54182.80968422,110078.139537504,113505.616705189,114743.467722018,115381.969556993,115771.574365165
1.264,55300.441963171,54190.608414474,110085.938267758,113513.415435443,114751.266452272,115389.768287247,115779.373095419
1.268,55394.7990709812,54198.3853945567,110093.71524784,113521.192415526,114759.043432354,115397.54526733,115787.150075502
1.272,55488.8933891672,54206.1407153313,110101.470568615,113528.947736301,114766.798753129,115405.300588104,115794.905396277
1.276,55582.7260140271,54213.8744671554,110109.204320439,113536.681488125,114774.532504953,115413.034339929,115802.639148101
1.28,55676.2980357697,54221.5867398849,110116.916593169,113544.393760854,114782.244777683,115420.746612658,115810.35142083
1.284,55769.6105385564,54229.277622877,110124.607476161,113552.084643846,114789.935660675,115428.43749565,115818.042303822
1.288,55862.6646005432,54236.9472049941,110132.277058278,113559.754225963,114797.605242792,115436.107077767,115825.711885939
1.292,55955.461293922,54244.5955746072,110139.925427891,113567.402595576,114805.253612405,115443.75544738,115833.360255552
1.296,56048.0016849621,54252.2228195988,110147.552672883,113575.029840568,114812.880857397,115451.382692372,115840.987500544
1.3,56140.2868340509,54259.8290273668,110155.158880651,113582.636048336,114820.487065165,115458.98890014,115848.593708312
1.304,56232.3177957345,54267.4142848277,110162.744138112,113590.221305797,114828.072322625,115466.574157601,115856.178965773
1.308,56324.0956187576,54274.9786784198,110170.308531704,113597.785699389,114835.636716218,115474.138551193,115863.743359365
1.312,56415.6213461035,54282.5222941065,110177.85214739,113605.329315076,114843.180331904,115481.68216688,115871.286975052
1.316,56506.8960150338,54290.0452173796,110185.375070663,113612.852238349,114850.703255177,115489.205090153,115878.809898325
1.32,56597.9206571272,54297.5475332626,110192.877386546,113620.354554232,114858.20557106,115496.707406036,115886.312214208
1.324,56688.6962983186,54305.0293263138,110200.359179598,113627.836347283,114865.687364112,115504.189199087,115893.794007259
1.328,56779.2239589378,54312.4906806294,110207.820533913,113635.297701599,114873.148718427,115511.650553403,115901.255361575
1.332,56869.5046537474,54319.931679847,110215.261533131,113642.738700816,114880.589717645,115519.09155262,115908.696360792
1.336,56959.5393919807,54327.3524071483,110222.682260432,113650.159428118,114888.010444946,115526.512279921,115916.117088094
1.34,57049.3291773798,54334.7529452623,110230.082798546,113657.559966232,114895.41098306,115533.912818035,115923.517626208
1.344,57138.8750082322,54342.1333764688,110237.463229753,113664.940397438,114902.791414267,115541.293249242,115930.898057414
1.348,57228.1778774085,54349.4937826007,110244.823635884,113672.30080357,114910.151820398,115548.653655374,115938.258463546
1.352,57317.2387723985,54356.8342450477,110252.164098331,113679.641266017,114917.492282845,115555.994117821,115945.598925993
1.356,57406.0586753479,54364.1548447589,110259.484698043,113686.961865728,114924.812882557,115563.314717532,115952.919525704
1.36,57494.6385630946,54371.455662246,110266.78551553,113694.262683215,114932.113700044,115570.615535019,115960.220343191
1.364,57582.9794072038,54378.7367775862,110274.06663087,113701.543798555,114939.394815384,115577.896650359,115967.501458531
1.368,57671.0821740045,54385.9982704249,110281.328123709,113708.805291394,114946.656308223,115585.158143198,115974.76295137
1.372,57758.9478246239,54393.2402199789,110288.570073263,113716.047240948,114953.898257777,115592.400092752,115982.004900924
1.376,57846.5773150228,54400.4627050392,110295.792558323,113723.269726008,114961.120742837,115599.622577812,115989.227385984
1.38,57933.97159603,54407.6658039738,110302.995657258,113730.472824943,114968.323841772,115606.825676747,115996.430484919
1.384,58021.1316133771,54414.8495947305,110310.179448014,113737.6566157,114975.507632528,115614.009467504,116003.614275676
1.388,58108.0583077321,54422.0141548399,110317.344008124,113744.821175809,114982.672192638,115621.174027613,116010.778835785
1.392,58194.7526147335,54429.159561418,110324.489414702,113751.966582387,114989.817599216,115628.319434191,116017.924242363
1.396,58281.2154650241,54436.285891169,110331.615744453,113759.092912138,114996.943928967,115635.445763942,116025.050572114
1.4,58367.4477842838,54443.3932203881,110338.723073672,113766.200241357,115004.051258186,115642.553093161,116032.157901333
1.404,58453.4504932631,54450.4816249642,110345.811478248,113773.288645933,115011.139662762,115649.641497737,116039.24630591
1.408,58539.2245078154,54457.5511803827,110352.881033666,113780.358201352,115018.20921818,115656.711053156,116046.315861328
1.412,58624.7707389301,54464.6019617279,110359.931815012,113787.408982697,115025.259999526,115663.761834501,116053.366642673
1.416,58710.0900927642,54471.6340436859,110366.96389697,113794.441064655,115032.292081484,115670.793916459,116060.398724631
1.42,58795.1834706749,54478.6475005472,110373.977353831,113801.454521516,115039.305538345,115677.80737332,116067.412181492
1.424,58880.051769251,54485.6424062093,110380.972259493,113808.449427178,115046.300444007,115684.802278982,116074.407087155
1.428,58964.6958803443,54492.6188341793,110387.948687463,113815.425855148,115053.276871977,115691.778706952,116081.383515125
1.432,59049.1166911012,54499.5768575763,110394.90671086,113822.383878546,115060.234895374,115698.736730349,116088.341538522
1.436,59133.3150839933,54506.5165491345,110401.846402418,113829.323570104,115067.174586932,115705.676421908,116095.28123008
1.44,59217.2919368485,54513.4379812048,110408.767834489,113836.245002174,115074.096019003,115712.597853978,116102.20266215
1.444,59301.0481228812,54520.3412257584,110415.671079042,113843.148246728,115080.999263556,115719.501098532,116109.105906704
1.448,59384.5845107229,54527.2263543884,110422.556207672,113850.033375358,115087.884392186,115726.386227162,116115.991035334
1.452,59467.9019644519,54534.0934383128,110429.423291597,113856.900459282,115094.751476111,115733.253311086,116122.858119258
1.456,59551.0013436232,54540.9425483767,110436.27240166,113863.749569346,115101.600586174,115740.10242115,116129.707229322
