N,C4Independent,C12Independent,C4Hierarchy,C12Hierarchy,C4Reciprocal,C12Reciprocal,C4IndependentPlus,C12IndependentPlus,C4HierarchyPlus,C12HierarchyPlus,LasBIndependent,LasBIndependentPlus,LasBHierarchy,LasBHierarchyPlus,LasBReciprocal
0.098,0.00369214053323737,0.0027377549474565,0.104950708805278,0.0027377549474565,0.172980218478843,0.0762386437790393,0.00428021581869938,0.00449112634268035,0.108626686486349,0.00449112634268035,1716.35814161296,1725.50293896524,1786.88140723843,1842.56403929616,4343.06570484086
0.1,0.0037684375904038,0.00281747794312593,0.107292092124735,0.00281747794312593,0.177322171902162,0.0781868958130265,0.00438304504933669,0.00470505271490375,0.111309963847373,0.00470505271490375,1716.81011828993,1726.72178509216,1790.43218037042,1851.23753832474,4434.38082740884
0.102,0.00384477293041512,0.00289855003039429,0.109643977056903,0.00289855003039429,0.181678304115276,0.0801477133118182,0.00448660327387048,0.00493013564554494,0.114031882803679,0.00493013564554494,1717.27288337619,1728.01239579142,1794.07626007908,1860.44172054139,4526.42564583123
0.104,0.00392114657655181,0.00298100370919796,0.112006562043725,0.00298100370919796,0.186048066571616,0.0821209367377666,0.00459089810296212,0.00516718874667387,0.116794824700109,0.00516718874667387,1717.74669820174,1729.38013753375,1797.81546045606,1870.21669556287,4619.16279529805
0.106,0.00399755855210766,0.0030648724608219,0.114380050539115,0.0030648724608219,0.190430933738584,0.0841064058800485,0.00469593725115299,0.00541709733796446,0.119601341951858,0.00541709733796446,1718.23183206925,1730.83085897649,1801.65166297425,1880.60631947579,4712.55582913248
0.108,0.00407400888038976,0.00315019078209694,0.116764651142894,0.00315019078209694,0.194826402117891,0.0861039600276124,0.00480172853859904,0.00568082516181544,0.122454168720985,0.00568082516181544,1718.72856253557,1732.37093749809,1805.58681855501,1891.65856759956,4806.56921196888
0.11,0.00415049758471854,0.0032369942208692,0.119160577737733,0.0032369942208692,0.19923398930834,0.0881134381352817,0.00490827989283933,0.0059594216183759,0.125356231419401,0.0059594216183759,1719.23717570402,1734.00732963112,1809.62294972252,1903.42593960127,4901.16831180891
0.112,0.00422702468842776,0.00332531941278597,0.121568049629064,0.00332531941278597,0.203653233108993,0.0901346789829341,0.00501559935059928,0.00625402950845299,0.128310658722759,0.00625402950845299,1719.75796652764,1735.7476254071,1813.76215284789,1915.96589719072,4996.31939108799
0.114,0.00430359021486449,0.00341520411944373,0.123987291687945,0.00341520411944373,0.208083690660811,0.0921675213277146,0.00512369505962927,0.0065658932495662,0.131320790680269,0.0065658932495662,1720.29123912399,1737.60010649254,1818.00660048573,1929.34133350987,5091.98959686974
0.116,0.00438019418738914,0.0035066872679445,0.126418534496822,0.0035066872679445,0.212524937624971,0.0942118040492698,0.00523257528057955,0.00689636749948553,0.134390186384383,0.00689636749948553,1720.83730710182,1739.57380780947,1822.358543806,1943.62107176379,5188.14695027402
0.118,0.00445683662937544,0.00359980899190772,0.128862014498132,0.00359980899190772,0.216976567396176,0.0962673662880214,0.00534224838891218,0.00724692608042417,0.137522629519067,0.00724692608042417,1721.39649390002,1741.67858208195,1826.82031512385,1958.88038849929,5284.76033523307
0.12,0.00453351756421046,0.0036946106739853,0.131317974145679,0.0036946106739853,0.221438190349379,0.0983340475765221,0.0054527228768508,0.00761917104340135,0.140722130934589,0.00761917104340135,1721.96913313929,1743.92516641611,1831.39433053032,1975.20155408,5381.7994866607
0.122,0.00461023701529461,0.00379113498992807,0.133786662058686,0.00379113498992807,0.225909433118428,0.100411687963959,0.0055640073553692,0.00801484164379698,0.14399292720085,0.00801484164379698,1722.55556898695,1746.32524958975,1836.0830926268,1992.67437918105,5479.23497811078
0.124,0.00468699500604162,0.00388942595425223,0.136268333178409,0.00388942595425223,0.230389937905227,0.102500128133894,0.00567611055621935,0.00843582291358217,0.147339473873579,0.00843582291358217,1723.15615653542,1748.89153818099,1840.88919336609,2011.39675137701,5577.03820899401
0.126,0.00476379155987859,0.00398952896755446,0.138763248927175,0.00398952896755446,0.234879361818083,0.104599209515343,0.0057890413340001,0.00888415341146612,0.150766431976132,0.00888415341146612,1723.77126219458,1751.63781899081,1845.81531700293,2031.47513998834,5675.18139141511
0.128,0.00484062670024593,0.00409149086552452,0.141271677369707,0.00409149086552452,0.239377376237981,0.106708774387314,0.00590280866826708,0.00936203160876245,0.154278645968762,0.00936203160876245,1724.40126409877,1754.57901440464,1850.86424315685,2053.02504020178,5773.63753668662
0.13,0.00491750045059739,0.00419535996970369,0.143793893376523,0.00419535996970369,0.243883666211594,0.108828665976956,0.00601742166568508,0.00987182022772656,0.157881111270608,0.00987182022772656,1725.04655252857,1757.73122639748,1856.0388499902,2076.17131910948,5872.38044157054
0.132,0.00499441283440011,0.00430118614003703,0.146330178789215,0.00430118614003703,0.248397929869888,0.110958728551435,0.00613288956222363,0.0104160476953134,0.161578929252401,0.0104160476953134,1725.70753034804,1761.11176384191,1861.34211750411,2101.04841691506,5971.38467429404
0.134,0.00507136387513452,0.00440902082926637,0.148880822587356,0.00440902082926637,0.252919877871251,0.113098807503733,0.00624922172539692,0.0109974057183936,0.165377247578899,0.0109974057183936,1726.38461345771,1764.73914668291,1866.77713095502,2127.80034659041,6070.62556038151
0.136,0.00514835359629444,0.00451891713921017,0.15144612105676,0.00451891713921017,0.257449232868112,0.115248749432512,0.00636642765654894,0.0116187418425201,0.169281183912665,0.0116187418425201,1727.07823126383,1768.63307949472,1872.34708439442,2156.58042556417,6170.07916834151
0.138,0.00522538202138703,0.00463092987897413,0.154026377958762,0.00463092987897413,0.26198572899607,0.117408402216227,0.00648451699318501,0.0122830457493778,0.173295731371079,0.0122830457493778,1727.78882716431,1772.81438608079,1878.05528433421,2187.5506648855,6269.72229524374
0.14,0.00530244917393279,0.00474511562513509,0.156621904700178,0.00474511562513509,0.266529111384603,0.119577615081674,0.00660349951135063,0.0129934280108202,0.177425644838889,0.0129934280108202,1728.51685905171,1777.30489632741,1883.90515354004,2220.88073659179,6369.53245221822
0.142,0.0053795550774656,0.00486153278393758,0.159233020503518,0.00486153278393758,0.271079135688452,0.121756238667155,0.00672338512805881,0.0137530900906733,0.181675308355166,0.0137530900906733,1729.26279983376,1782.12727673738,1889.90023495449,2256.74644111823,6469.48784990623
0.144,0.00545669975553268,0.0049802416555397,0.161860052577012,0.0049802416555397,0.275635567638841,0.123944125080452,0.00684418390376694,0.0145652846146175,0.186048585364898,0.0145652846146175,1730.0271379717,1787.30479725817,1896.04419575219,2295.3276063262,6569.56738388985
0.146,0.00553388323169461,0.00510130450034096,0.164503336283923,0.00510130450034096,0.280198182613691,0.1261411279518,0.00696590604490451,0.015433265356424,0.190548655644726,0.015433265356424,1730.81037803688,1792.86102947589,1902.34083152819,2336.80537093404,6669.75062012508
0.148,0.00561110552952534,0.00522478560742021,0.16716321531059,0.00522478560742021,0.284766765226076,0.128347102482061,0.00708856190645247,0.0163602270447717,0.195177845083518,0.0163602270447717,1731.61304128591,1798.81947520022,1908.79407062086,2381.35884005098,6770.01778040114
0.15,0.00568836667261217,0.00535075136510674,0.16984004183256,0.00535075136510674,0.289341108930134,0.130561905486284,0.00721216199457597,0.0173492359792197,0.199937457007939,0.0173492359792197,1732.43566625461,1805.20312996774,1915.40797857006,2429.16114990148,6870.34972784691
0.152,0.00576566668455578,0.00547927033370108,0.172534176678099,0.00547927033370108,0.293921015643741,0.13278539543286,0.00733671696931113,0.0184031535122709,0.204827616046567,0.0184031535122709,1733.27880937106,1812.0339928192,1922.18676271086,2480.37504094243,6970.72795250364
0.154,0.00584300558897021,0.00561041332035508,0.175245989488316,0.00561041332035508,0.298506295387243,0.135017432478447,0.00746223764730761,0.019524555605756,0.20984713716917,0.019524555605756,1734.14304558799,1819.33254126898,1929.13477690264,2535.14810831826,7071.13455698147
0.156,0.00592038340948287,0.00574425345611253,0.177975858873026,0.00574425345611253,0.303096765937588,0.137257878498878,0.00758873500462787,0.0207156527452784,0.214993433021971,0.0207156527452784,1735.02896903443,1827.11719770707,1936.25652639258,2593.60796721513,7171.5522422159
0.158,0.00599780016973453,0.0058808662751019,0.180724172561411,0.0058808662751019,0.307692252497219,0.139506597116221,0.00771622017960478,0.0219782152965314,0.220262471575106,0.0219782152965314,1735.93719368702,1835.40381928142,1943.55667281207,2655.8576264656,7271.964293339
0.16,0.00607525589337935,0.00602032979586223,0.183491327546431,0.00602032979586223,0.312292587377115,0.141763453722204,0.00784470447575864,0.023313509708238,0.225648793183467,0.023313509708238,1736.86835406061,1844.2052462531,1951.0400393036,2721.97139403391,7372.35456567872
0.162,0.00615275060408486,0.00616272460477054,0.186277730221845,0.00616272460477054,0.316897609693404,0.144028315498157,0.00797419936477523,0.0247222506527023,0.231145591549696,0.0247222506527023,1737.82310591834,1853.53094280397,1958.71161577483,2791.991632127,7472.70747089866
0.164,0.00623028432553196,0.00630813394152552,0.189083796510576,0.00630813394152552,0.321507165076971,0.14630105143168,0.00810471648954619,0.0262045731924852,0.236744857273816,0.0262045731924852,1738.80212700079,1863.38675881954,1966.57656427556,2865.92663235515,7573.00796328951
0.166,0.00630785708141492,0.00645664378662618,0.191909951983067,0.00645664378662618,0.326121105395525,0.148581532330196,0.00823626766727327,0.0277600274530358,0.242437576523015,0.0277600274530358,1739.80611777396,1873.77483163831,1974.64022449196,2943.74979522639,7673.2415262222
0.168,0.00638546889544142,0.00660834295076684,0.194756631964121,0.00660834295076684,0.330739288487614,0.150869630831567,0.00836886489263786,0.0293875962843065,0.248213971871106,0.0293875962843065,1740.83580219562,1884.69363441427,1982.90811935154,3025.40018433594,7773.39415877202
0.17,0.00646311979133249,0.00676332316604976,0.19762428162659,0.00676332316604976,0.335361577908071,0.153165221411935,0.00850252034103746,0.0310857343202847,0.254063768475856,0.0310857343202847,1741.89192849939,1896.13816449031,1991.38596073035,3110.78440137111,7873.45236252195
0.172,0.00654080979282256,0.0069216791788949,0.200513356070173,0.0069216791788949,0.339987842684427,0.155468180390956,0.00863724637189058,0.0328524250238073,0.259976467100767,0.0328524250238073,1742.97526999574,1908.10025313804,2000.07965525281,3199.77961330069,7973.40312855249
0.174,0.00661853892365943,0.00708350884450154,0.203424320383367,0.00708350884450154,0.344617957083827,0.157778385934581,0.00877305553201172,0.0346852510034087,0.265941606195946,0.0346852510034087,1744.08662588904,1920.56896897997,2008.99531017233,3292.23747516776,8073.23392462468
0.176,0.00669630720760432,0.00724891322268926,0.206357649686527,0.00724891322268926,0.349251800389997,0.160095718055534,0.00890996055905808,0.0365814722569366,0.271948998006038,0.0365814722569366,1745.22682210935,1933.5310824485,2018.13923931935,3387.98864163399,8172.93268256209
0.178,0.00677411466843179,0.00741799667491602,0.209313829153788,0.00741799667491602,0.353889256689854,0.162420058611634,0.00904797438504975,0.0385381070396243,0.277988927800016,0.0385381070396243,1746.39671215761,1946.97155794852,2027.51796910082,3486.84755047519,8272.48778583679
0.18,0.00685196132992984,0.00759086696223718,0.212293354011418,0.00759086696223718,0.358530214669333,0.164751291302106,0.00918711013996505,0.0405520106574306,0.28405231000184,0.0405520106574306,1747.59717796259,1960.87404337645,2037.13824453313,3588.61718665319,8371.88805736387
0.182,0.00692984721589983,0.00776763534393345,0.215296729510041,0.00776763534393345,0.363174567418053,0.167089301662008,0.0093273811554129,0.0426199484612453,0.290130799485928,0.0426199484612453,1748.82913074749,1975.22133219889,2047.00703528754,3693.09358632795,8471.12274750808
0.184,0.00700777235015652,0.00794841667649533,0.218324470867912,0.00794841667649533,0.367822212242444,0.169433977054918,0.00946880096838396,0.0447386604567674,0.296216860032923,0.0447386604567674,1750.09351190411,1989.99578012692,2057.13154172452,3800.06990423571,8570.18152230596
