M,C4Independent,C12Independent,C4Hierarchy,C12Hierarchy,C4Reciprocal,C12Reciprocal,C4IndependentPlus,C12IndependentPlus,C4HierarchyPlus,C12HierarchyPlus,LasBIndependent,LasBIndependentPlus,LasBHierarchy,LasBHierarchyPlus,LasBReciprocal
1.17,0.0181834174043048,0.216998329625066,0.962832854483042,0.216998329625066,1.03726195328855,0.704144225943327,0.0527907149821098,0.612269283578332,1.03157756684155,0.612269283578332,3287.73508297119,7401.33168980706,12099.8170137202,20472.5635814888,21638.2310695719
1.18,0.0180950646521161,0.215510284326042,0.95767555651631,0.215510284326042,1.03224639763476,0.701292051635432,0.0520971469349014,0.609342945591076,1.02653703884825,0.609342945591076,3275.25197521555,7344.07196219129,12042.0520182417,20418.4789133902,21589.9807664843
1.19,0.0180075657949769,0.214033098859285,0.952563569722209,0.214033098859285,1.02727716999462,0.69846032020378,0.0514205342420029,0.606436915112521,1.02154274318193,0.606436915112521,3262.88001869448,7287.858124617,11984.5164858234,20364.5415238482,21541.8841759997
1.2,0.0179209085214937,0.212566665664258,0.947496262992168,0.212566665664258,1.0223536342411,0.695648817965134,0.0507602980825406,0.603550982278061,1.01659404378072,0.603550982278061,3250.61785464971,7232.6628333375,11927.2096515758,20310.7508619062,21493.9406686837
1.21,0.0178350807556652,0.21111087870481,0.942473016714924,0.21111087870481,1.01747516580946,0.692857334189189,0.0501158840815507,0.600684940108875,1.01169031614103,0.600684940108875,3238.46414743597,7178.45958478136,11870.1307574381,20257.1063799008,21446.1496186474
1.22,0.0177500706512872,0.209665633443486,0.937493222518538,0.209665633443486,1.01264115143616,0.690085661047838,0.0494867611229398,0.597838584462526,1.00683094705655,0.597838584462526,3226.41758403437,7125.22269043193,11813.2790521355,20203.6075334323,21398.5104035179
1.23,0.0176658665865152,0.208230826816363,0.932556283019413,0.208230826816363,1.00785098890491,0.687333593565486,0.0488724202248986,0.595011713984557,1.00201533436436,0.595011713984557,3214.47687357831,7072.92725206632,11756.6537911384,20150.2537813342,21351.0224044085
1.24,0.0175824571585813,0.206806357208398,0.92766161157807,0.206806357208398,1.00310408679941,0.684600929570376,0.0482723734744485,0.592204130061087,0.997242886697779,0.592204130061087,3202.64074689139,7021.54913740669,11700.2542366209,20097.0445856446,21303.68500589
1.25,0.0174998311786597,0.205392124429285,0.922808632061482,0.205392124429285,0.998399864262823,0.681887469646909,0.0476861530179545,0.589415636772367,0.992513023245836,0.589415636772367,3190.90795603707,6971.06495622755,11644.0796574205,20043.9794115763,21256.4975959618
1.26,0.0174179776668752,0.203988029689794,0.917996778611764,0.203988029689794,0.993737750763494,0.679193017088929,0.0471133101045905,0.586646040847276,0.987825173519156,0.586646040847276,3179.27727387968,6921.45203695429,11588.1293289983,19991.0577274892,21209.4595660238
1.27,0.017336885847451,0.2025939755786,0.913225495421026,0.2025939755786,0.989117185867015,0.676517377853956,0.0465534141798935,0.583895151618738,0.983178777122017,0.583895151618738,3167.74749365647,6872.68840378133,11532.4025333994,19938.2790048612,21162.5703108482
1.28,0.0172565451439914,0.20120986603957,0.908494236512192,0.20120986603957,0.984537619014207,0.673860360518345,0.0460060520266856,0.581162780980037,0.978573283530427,0.581162780980037,3156.31742856037,6824.75275433172,11476.8985592142,19885.6427182608,21115.8292285522
1.29,0.0171769451748941,0.199835606349508,0.903802465525606,0.199835606349508,0.979998509304951,0.671221776233338,0.0454708269507838,0.578448743342006,0.974008151876015,0.578448743342006,3144.98591133313,6777.62443787463,11421.6167015402,19833.1483453193,21069.2357205699
1.3,0.0170980757488889,0.198471103096352,0.899149655511255,0.198471103096352,0.975499325287675,0.668601438682008,0.0449473580090521,0.575752855591078,0.969482850735583,0.575752855591078,3133.75179386852,6731.28343411233,11366.5562619435,19780.7953667037,21022.7891916264
