C12,LasIPlus,LasI(C4=0),LasI(C4=0.4),LasI(C4=0.8),LasI(C4=1.2),LasI(C4=1.6),LasI(C4=2)
0.644,89061.2228849319,46725.2788698001,97797.9829507016,99368.68592218,100330.10642432,100990.106552325,101472.98590968
0.648,89206.456714655,46800.1553023111,97872.8593832127,99443.5623546911,100404.982856831,101064.982984836,101547.862342191
0.652,89350.383188542,46874.3577173346,97947.0617982361,99517.7647697145,100479.185271854,101139.185399859,101622.064757214
0.656,89493.0198801944,46947.8951750776,98020.5992559791,99591.3022274575,100552.722729597,101212.722857602,101695.602214957
0.66,89634.3840496507,47020.7765740874,98093.480654989,99664.1836264674,100625.604128607,101285.604256612,101768.483613967
0.664,89774.4926503488,47093.0106548412,98165.7147357427,99736.4177072211,100697.838209361,101357.838337366,101840.717694721
0.668,89913.3623359039,47164.6060032398,98237.3100841414,99808.0130556198,100769.433557759,101429.433685764,101912.31304312
0.672,90051.0094667072,47235.5710540106,98308.2751349122,99878.9781063906,100840.39860853,101500.398736535,101983.27809389
0.676,90187.4501163514,47305.9140940195,98378.618174921,99949.3211463995,100910.741648539,101570.741776544,102053.621133899
0.68,90322.7000778877,47375.643265497,98448.3473463985,100019.050317877,100980.470820017,101640.470948022,102123.350305377
0.684,90456.7748699195,47444.7665691801,98517.4706500816,100088.17362156,101049.5941237,101709.594251705,102192.47360906
0.688,90589.6897425386,47513.2918673724,98585.9959482739,100156.698919752,101118.119421892,101778.119549897,102260.998907252
0.692,90721.4596831075,47581.2268869254,98653.9309678269,100224.633939305,101186.054441445,101846.05456945,102328.933926805
0.696,90852.0994218928,47648.5792221428,98721.2833030443,100291.986274523,101253.406776662,101913.406904667,102396.286262023
0.7,90981.6234375548,47715.3563376108,98788.0604185124,100358.763389991,101320.18389213,101980.184020135,102463.063377491
0.704,91110.0459624967,47781.5655709557,98854.2696518573,100424.972623336,101386.393125475,102046.39325348,102529.272610836
0.708,91237.3809880775,47847.2141355318,98919.9182164333,100490.621187912,101452.041690051,102112.041818056,102594.921175412
0.712,91363.6422696943,47912.309123041,98985.0132039425,100555.716175421,101517.136677561,102177.136805566,102660.016162921
0.716,91488.843331735,47976.857506087,99049.5615869885,100620.264558467,101581.685060607,102241.685188612,102724.564545967
0.72,91612.9974724077,48040.8661406646,99113.5702215661,100684.273193045,101645.693695184,102305.693823189,102788.573180544
0.724,91736.1177684496,48104.3417685875,99177.045849489,100747.748820967,101709.169323107,102369.169451112,102852.048808467
0.728,91858.217079718,48167.2910198554,99239.9951007569,100810.698072235,101772.118574375,102432.11870238,102914.998059735
0.732,91979.308053668,48229.7204149623,99302.4244958638,100873.127467342,101834.547969482,102494.548097487,102977.427454842
0.736,92099.4031297201,48291.6363671483,99364.3404480498,100935.043419528,101896.463921668,102556.464049673,103039.343407028
0.74,92218.5145435195,48353.0451845957,99425.7492654972,100996.452236976,101957.872739115,102617.87286712,103100.752224475
0.744,92336.6543310922,48413.9530725714,99486.6571534729,101057.360124951,102018.780627091,102678.780755096,103161.660112451
0.748,92453.8343328991,48474.3661355173,99547.0702164188,101117.773187897,102079.193690037,102739.193818042,103222.073175397
0.752,92570.0661977918,48534.2903790897,99606.9944599912,101177.69743147,102139.117933609,102799.118061614,103281.99741897
0.756,92685.3613868735,48593.7317121495,99666.435793051,101237.138764529,102198.559266669,102858.559394674,103341.438752029
0.76,92799.7311772654,48652.6959487046,99725.4000296061,101296.103001085,102257.523503224,102917.523631229,103400.402988584
0.764,92913.1866657847,48711.1888098053,99783.8928907069,101354.595862185,102316.016364325,102976.01649233,103458.895849685
0.768,93025.738772533,48769.2159253953,99841.9200062968,101412.622977775,102374.043479915,103034.04360792,103516.922965275
0.772,93137.3982444003,48826.7828361174,99899.4869170189,101470.189888497,102431.610390637,103091.610518642,103574.489875997
0.776,93248.1756584859,48883.8949950775,99956.599075979,101527.302047457,102488.722549597,103148.722677602,103631.602034957
0.78,93358.0814254382,48940.5577695665,100013.261850468,101583.964821947,102545.385324086,103205.385452091,103688.264809446
0.784,93467.125792716,48996.7764427418,100069.480523643,101640.183495122,102601.603997261,103261.604125266,103744.483482622
0.788,93575.3188477741,49052.5562152691,100125.260296171,101695.963267649,102657.383769789,103317.383897794,103800.263255149
0.792,93682.6705211734,49107.9022069265,100180.606287828,101751.309259306,102712.729761446,103372.729889451,103855.609246806
0.796,93789.1905896196,49162.819458171,100235.523539072,101806.226510551,102767.647012691,103427.647140695,103910.526498051
0.8,93894.8886789318,49217.3129316683,100290.01701257,101860.719984048,102822.140486188,103482.140614193,103965.019971548
0.804,93999.7742669412,49271.3875137883,100344.09159469,101914.794566168,102876.215068308,103536.215196313,104019.094553668
0.808,94103.8566863251,49325.0480160655,100397.752096967,101968.455068446,102929.875570585,103589.87569859,104072.755055945
0.812,94207.1451273745,49378.2991766261,100451.003257528,102021.706229006,102983.126731146,103643.126859151,104126.006216506
0.816,94309.6486406996,49431.1456615826,100503.849742484,102074.552713963,103035.973216102,103695.973344107,104178.852701462
0.82,94411.3761398732,49483.5920663969,100556.296147298,102126.999118777,103088.419620917,103748.419748921,104231.299106277
0.824,94512.3364040148,49535.6429172126,100608.346998114,102179.049969593,103140.470471732,103800.470599737,104283.349957092
0.828,94612.5380803159,49587.3026721564,100660.006753058,102230.709724536,103192.130226676,103852.130354681,104335.009712036
0.832,94711.9896865093,49638.5757226121,100711.279803514,102281.982774992,103243.403277132,103903.403405137,104386.282762492
0.836,94810.6996132823,49689.4663944637,100762.170475365,102332.873446844,103294.293948983,103954.294076988,104437.173434344
0.84,94908.6761266372,49739.9789493132,100812.683030215,102383.386001693,103344.806503833,104004.806631838,104487.685989193
0.844,95005.9273701979,49790.1175856693,100862.821666571,102433.524638049,103394.945140189,104054.945268194,104537.824625549
0.848,95102.4613674672,49839.8864401114,100912.590521013,102483.293492491,103444.713994631,104104.714122636,104587.593479991
0.852,95198.2860240326,49889.2895884268,100961.993669328,102532.696640807,103494.117142946,104154.117270951,104636.996628307
0.856,95293.4091297253,49938.3310467235,101011.035127625,102581.738099103,103543.158601243,104203.158729248,104686.038086603
0.86,95387.8383607306,49987.0147725188,101059.71885342,102630.421824899,103591.842327038,104251.842455043,104734.721812399
0.864,95481.5812816531,50035.3446658035,101108.048746705,102678.751718183,103640.172220323,104300.172348328,104783.051705683
0.868,95574.6453475366,50083.3245700835,101156.028650985,102726.731622463,103688.152124603,104348.152252608,104831.031609963
0.872,95667.0379058406,50130.9582733988,101203.6623543,102774.365325779,103735.785827918,104395.785955923,104878.665313279
0.876,95758.766198374,50178.2495093204,101250.953590222,102821.6565617,103783.07706384,104443.077191845,104925.9565492
0.88,95849.8373631873,50225.2019579259,101297.906038827,102868.609010306,103830.029512446,104490.02964045,104972.908997806
0.884,95940.258436424,50271.8192467538,101344.523327655,102915.226299134,103876.646801273,104536.646929278,105019.526286634
0.888,96030.036354133,50318.1049517382,101390.80903264,102961.512004118,103922.932506258,104582.932634263,105065.811991618
0.892,96119.1779540422,50364.0625981231,101436.766679025,103007.469650503,103968.890152643,104628.890280648,105111.769638003
0.896,96207.6899772943,50409.6956613569,101482.399742258,103053.102713737,104014.523215877,104674.523343881,105157.402701237
0.9,96295.5790701463,50455.0075679695,101527.711648871,103098.414620349,104059.835122489,104719.835250494,105202.714607849
0.904,96382.8517856333,50500.001696429,101572.70577733,103143.408748809,104104.829250949,104764.829378953,105247.708736309
0.908,96469.5145851968,50544.6813779819,101617.385458883,103188.088430362,104149.508932502,104809.509060506,105292.388417862
0.912,96555.5738402798,50589.0498974753,101661.753978377,103232.456949855,104193.877451995,104853.87758,105336.756937355
0.916,96641.035833888,50633.1104941618,101705.814575063,103276.517546542,104237.938048681,104897.938176686,105380.817534042
0.92,96725.9067621193,50676.866362488,101749.570443389,103320.273414868,104281.693917008,104941.694045012,105424.573402368
0.924,96810.1927356609,50720.3206528661,101793.024733768,103363.727705246,104325.148207386,104985.148335391,105468.027692746
0.928,96893.8997812561,50763.4764724307,101836.180553332,103406.883524811,104368.30402695,105028.304154955,105511.183512311
0.932,96977.0338431407,50806.3368857789,101879.04096668,103449.743938159,104411.164440299,105071.164568303,105554.043925659
0.936,97059.6007844503,50848.9049156959,101921.608996597,103492.311968076,104453.732470216,105113.73259822,105596.611955576
0.94,97141.6063885988,50891.1835438658,101963.887624767,103534.590596246,104496.011098385,105156.01122639,105638.890583746
0.944,97223.0563606282,50933.1757115675,102005.879792469,103576.582763947,104538.003266087,105198.003394092,105680.882751447
0.948,97303.9563285323,50974.884320357,102047.588401259,103618.291372737,104579.711874877,105239.712002882,105722.591360237
0.952,97384.3118445529,51016.3122327358,102089.016313637,103659.719285116,104621.139787255,105281.13991526,105764.019272616
0.956,97464.1283864498,51057.4622728057,102130.166353707,103700.869325186,104662.289827325,105322.28995533,105805.169312686
0.96,97543.4113587456,51098.3372269104,102171.041307812,103741.74427929,104703.16478143,105363.164909435,105846.04426679
0.964,97622.1660939458,51138.9398442647,102211.643925166,103782.346896645,104743.767398784,105403.767526789,105886.646884145
0.968,97700.3978537342,51179.2728375707,102251.976918472,103822.679889951,104784.10039209,105444.100520095,105926.979877451
0.972,97778.1118301451,51219.338883622,102292.042964524,103862.745936002,104824.166438142,105484.166566147,105967.045923502
0.976,97855.3131467112,51259.1406238959,102331.844704797,103902.547676276,104863.968178416,105523.96830642,106006.847663776
0.98,97932.0068595904,51298.6806651341,102371.384746036,103942.087717514,104903.508219654,105563.508347659,106046.387705014
0.984,98008.1979586694,51337.9615799114,102410.665660813,103981.368632291,104942.789134431,105602.789262436,106085.668619791
0.988,98083.8913686456,51376.9859071939,102449.689988095,104020.392959574,104981.813461714,105641.813589718,106124.692947074
